Country or Area,Year,Area,Sex,Age,Record Type,Source Year,Value,Deaths
Hungary,1970,Rural,Female,0,Census - de facto - complete tabulation,1973,40544.0,1250.0
Hungary,1970,Rural,Female,1 - 4,Census - de facto - complete tabulation,1973,157065.0,166.0
Hungary,1970,Rural,Female,10 - 14,Census - de facto - complete tabulation,1973,246621.0,69.0
Hungary,1970,Rural,Female,15 - 19,Census - de facto - complete tabulation,1973,242250.0,110.0
Hungary,1970,Rural,Female,20 - 24,Census - de facto - complete tabulation,1973,185899.0,107.0
Hungary,1970,Rural,Female,25 - 29,Census - de facto - complete tabulation,1973,182105.0,122.0
Hungary,1970,Rural,Female,30 - 34,Census - de facto - complete tabulation,1973,181513.0,162.0
Hungary,1970,Rural,Female,35 - 39,Census - de facto - complete tabulation,1973,193688.0,296.0
Hungary,1970,Rural,Female,40 - 44,Census - de facto - complete tabulation,1973,200070.0,439.0
Hungary,1970,Rural,Female,45 - 49,Census - de facto - complete tabulation,1973,205047.0,767.0
Hungary,1970,Rural,Female,5 - 9,Census - de facto - complete tabulation,1973,195675.0,69.0
Hungary,1970,Rural,Female,50 - 54,Census - de facto - complete tabulation,1973,116394.0,684.0
Hungary,1970,Rural,Female,55 - 59,Census - de facto - complete tabulation,1973,189038.0,1487.0
Hungary,1970,Rural,Female,60 - 64,Census - de facto - complete tabulation,1973,167841.0,2322.0
Hungary,1970,Rural,Female,65 - 69,Census - de facto - complete tabulation,1973,141831.0,3528.0
Hungary,1970,Rural,Female,70 - 74,Census - de facto - complete tabulation,1973,106966.0,5009.0
Hungary,1970,Rural,Female,75 - 79,Census - de facto - complete tabulation,1973,65768.0,5587.0
Hungary,1970,Rural,Female,80 +,Census - de facto - complete tabulation,1973,50940.0,9017.0
Hungary,1970,Rural,Male,0,Census - de facto - complete tabulation,1973,43141.0,1768.0
Hungary,1970,Rural,Male,1 - 4,Census - de facto - complete tabulation,1973,166462.0,220.0
Hungary,1970,Rural,Male,10 - 14,Census - de facto - complete tabulation,1973,261310.0,113.0
Hungary,1970,Rural,Male,15 - 19,Census - de facto - complete tabulation,1973,261445.0,329.0
Hungary,1970,Rural,Male,20 - 24,Census - de facto - complete tabulation,1973,207654.0,370.0
Hungary,1970,Rural,Male,25 - 29,Census - de facto - complete tabulation,1973,190552.0,380.0
Hungary,1970,Rural,Male,30 - 34,Census - de facto - complete tabulation,1973,175522.0,409.0
Hungary,1970,Rural,Male,35 - 39,Census - de facto - complete tabulation,1973,187932.0,618.0
Hungary,1970,Rural,Male,40 - 44,Census - de facto - complete tabulation,1973,192330.0,826.0
Hungary,1970,Rural,Male,45 - 49,Census - de facto - complete tabulation,1973,188629.0,1247.0
Hungary,1970,Rural,Male,5 - 9,Census - de facto - complete tabulation,1973,207023.0,100.0
Hungary,1970,Rural,Male,50 - 54,Census - de facto - complete tabulation,1973,102850.0,1011.0
Hungary,1970,Rural,Male,55 - 59,Census - de facto - complete tabulation,1973,164860.0,2426.0
Hungary,1970,Rural,Male,60 - 64,Census - de facto - complete tabulation,1973,149053.0,3850.0
Hungary,1970,Rural,Male,65 - 69,Census - de facto - complete tabulation,1973,123648.0,5102.0
Hungary,1970,Rural,Male,70 - 74,Census - de facto - complete tabulation,1973,84311.0,5596.0
Hungary,1970,Rural,Male,75 - 79,Census - de facto - complete tabulation,1973,46136.0,4965.0
Hungary,1970,Rural,Male,80 +,Census - de facto - complete tabulation,1973,33135.0,6427.0
Hungary,1970,Urban,Female,0,Census - de facto - complete tabulation,1973,31822.0,1051.0
Hungary,1970,Urban,Female,1 - 4,Census - de facto - complete tabulation,1973,111194.0,91.0
Hungary,1970,Urban,Female,10 - 14,Census - de facto - complete tabulation,1973,154271.0,35.0
Hungary,1970,Urban,Female,15 - 19,Census - de facto - complete tabulation,1973,205260.0,77.0
Hungary,1970,Urban,Female,20 - 24,Census - de facto - complete tabulation,1973,197429.0,102.0
Hungary,1970,Urban,Female,25 - 29,Census - de facto - complete tabulation,1973,186991.0,135.0
Hungary,1970,Urban,Female,30 - 34,Census - de facto - complete tabulation,1973,164027.0,149.0
Hungary,1970,Urban,Female,35 - 39,Census - de facto - complete tabulation,1973,169468.0,222.0
Hungary,1970,Urban,Female,40 - 44,Census - de facto - complete tabulation,1973,178685.0,430.0
Hungary,1970,Urban,Female,45 - 49,Census - de facto - complete tabulation,1973,180496.0,634.0
Hungary,1970,Urban,Female,5 - 9,Census - de facto - complete tabulation,1973,119913.0,34.0
Hungary,1970,Urban,Female,50 - 54,Census - de facto - complete tabulation,1973,112751.0,625.0
Hungary,1970,Urban,Female,55 - 59,Census - de facto - complete tabulation,1973,167317.0,1435.0
Hungary,1970,Urban,Female,60 - 64,Census - de facto - complete tabulation,1973,143229.0,2137.0
Hungary,1970,Urban,Female,65 - 69,Census - de facto - complete tabulation,1973,120181.0,2891.0
Hungary,1970,Urban,Female,70 - 74,Census - de facto - complete tabulation,1973,97325.0,4229.0
Hungary,1970,Urban,Female,75 - 79,Census - de facto - complete tabulation,1973,61249.0,4693.0
Hungary,1970,Urban,Female,80 +,Census - de facto - complete tabulation,1973,47585.0,7417.0
Hungary,1970,Urban,Male,0,Census - de facto - complete tabulation,1973,34647.0,1378.0
Hungary,1970,Urban,Male,1 - 4,Census - de facto - complete tabulation,1973,118338.0,113.0
Hungary,1970,Urban,Male,10 - 14,Census - de facto - complete tabulation,1973,161706.0,73.0
Hungary,1970,Urban,Male,15 - 19,Census - de facto - complete tabulation,1973,208179.0,205.0
Hungary,1970,Urban,Male,20 - 24,Census - de facto - complete tabulation,1973,188267.0,211.0
Hungary,1970,Urban,Male,25 - 29,Census - de facto - complete tabulation,1973,181217.0,250.0
Hungary,1970,Urban,Male,30 - 34,Census - de facto - complete tabulation,1973,150762.0,243.0
Hungary,1970,Urban,Male,35 - 39,Census - de facto - complete tabulation,1973,161264.0,379.0
Hungary,1970,Urban,Male,40 - 44,Census - de facto - complete tabulation,1973,165771.0,687.0
Hungary,1970,Urban,Male,45 - 49,Census - de facto - complete tabulation,1973,157024.0,913.0
Hungary,1970,Urban,Male,5 - 9,Census - de facto - complete tabulation,1973,126775.0,52.0
Hungary,1970,Urban,Male,50 - 54,Census - de facto - complete tabulation,1973,98748.0,951.0
Hungary,1970,Urban,Male,55 - 59,Census - de facto - complete tabulation,1973,144359.0,2114.0
Hungary,1970,Urban,Male,60 - 64,Census - de facto - complete tabulation,1973,115178.0,3134.0
Hungary,1970,Urban,Male,65 - 69,Census - de facto - complete tabulation,1973,89795.0,4116.0
Hungary,1970,Urban,Male,70 - 74,Census - de facto - complete tabulation,1973,60849.0,4205.0
Hungary,1970,Urban,Male,75 - 79,Census - de facto - complete tabulation,1973,32049.0,3258.0
Hungary,1970,Urban,Male,80 +,Census - de facto - complete tabulation,1973,22730.0,4379.0
Hungary,1975,Rural,Female,0,Estimate - de jure,1976,45358.0,1371.0
Hungary,1975,Rural,Female,1 - 4,Estimate - de jure,1976,154657.0,118.0
Hungary,1975,Rural,Female,10 - 14,Estimate - de jure,1976,178374.0,47.0
Hungary,1975,Rural,Female,15 - 19,Estimate - de jure,1976,190670.0,105.0
Hungary,1975,Rural,Female,20 - 24,Estimate - de jure,1976,185637.0,120.0
Hungary,1975,Rural,Female,25 - 29,Estimate - de jure,1976,171604.0,116.0
Hungary,1975,Rural,Female,30 - 34,Estimate - de jure,1976,166471.0,160.0
Hungary,1975,Rural,Female,35 - 39,Estimate - de jure,1976,170913.0,238.0
Hungary,1975,Rural,Female,40 - 44,Estimate - de jure,1976,181408.0,412.0
Hungary,1975,Rural,Female,45 - 49,Estimate - de jure,1976,189306.0,737.0
Hungary,1975,Rural,Female,5 - 9,Estimate - de jure,1976,186334.0,54.0
