Country or Area,Year,Area,Sex,Age,Record Type,Source Year,Value,Deaths
Poland,1960,Rural,Female,0,Census - de facto - complete tabulation,1964,168890.0,
Poland,1960,Rural,Female,1 - 4,Census - de facto - complete tabulation,1964,755979.0,
Poland,1960,Rural,Female,10 - 14,Census - de facto - complete tabulation,1964,815748.0,
Poland,1960,Rural,Female,15 - 19,Census - de facto - complete tabulation,1964,470869.0,
Poland,1960,Rural,Female,20 - 24,Census - de facto - complete tabulation,1964,519156.0,
Poland,1960,Rural,Female,25 - 29,Census - de facto - complete tabulation,1964,526420.0,
Poland,1960,Rural,Female,30 - 34,Census - de facto - complete tabulation,1964,555068.0,
Poland,1960,Rural,Female,35 - 39,Census - de facto - complete tabulation,1964,528658.0,
Poland,1960,Rural,Female,40 - 44,Census - de facto - complete tabulation,1964,368042.0,
Poland,1960,Rural,Female,45 - 49,Census - de facto - complete tabulation,1964,450060.0,
Poland,1960,Rural,Female,5 - 9,Census - de facto - complete tabulation,1964,933204.0,
Poland,1960,Rural,Female,50 - 54,Census - de facto - complete tabulation,1964,468861.0,
Poland,1960,Rural,Female,55 - 59,Census - de facto - complete tabulation,1964,404218.0,
Poland,1960,Rural,Female,60 - 64,Census - de facto - complete tabulation,1964,331962.0,
Poland,1960,Rural,Female,65 - 69,Census - de facto - complete tabulation,1964,226740.0,
Poland,1960,Rural,Female,70 - 74,Census - de facto - complete tabulation,1964,168077.0,
Poland,1960,Rural,Female,75 - 79,Census - de facto - complete tabulation,1964,98679.0,
Poland,1960,Rural,Female,80 +,Census - de facto - complete tabulation,1964,77463.0,
Poland,1960,Rural,Male,0,Census - de facto - complete tabulation,1964,176282.0,
Poland,1960,Rural,Male,1 - 4,Census - de facto - complete tabulation,1964,788416.0,
Poland,1960,Rural,Male,10 - 14,Census - de facto - complete tabulation,1964,850142.0,
Poland,1960,Rural,Male,15 - 19,Census - de facto - complete tabulation,1964,464510.0,
Poland,1960,Rural,Male,20 - 24,Census - de facto - complete tabulation,1964,408348.0,
Poland,1960,Rural,Male,25 - 29,Census - de facto - complete tabulation,1964,522125.0,
Poland,1960,Rural,Male,30 - 34,Census - de facto - complete tabulation,1964,514173.0,
Poland,1960,Rural,Male,35 - 39,Census - de facto - complete tabulation,1964,446741.0,
Poland,1960,Rural,Male,40 - 44,Census - de facto - complete tabulation,1964,320996.0,
Poland,1960,Rural,Male,45 - 49,Census - de facto - complete tabulation,1964,389593.0,
Poland,1960,Rural,Male,5 - 9,Census - de facto - complete tabulation,1964,969987.0,
Poland,1960,Rural,Male,50 - 54,Census - de facto - complete tabulation,1964,437758.0,
Poland,1960,Rural,Male,55 - 59,Census - de facto - complete tabulation,1964,365906.0,
Poland,1960,Rural,Male,60 - 64,Census - de facto - complete tabulation,1964,271671.0,
Poland,1960,Rural,Male,65 - 69,Census - de facto - complete tabulation,1964,173380.0,
Poland,1960,Rural,Male,70 - 74,Census - de facto - complete tabulation,1964,113649.0,
Poland,1960,Rural,Male,75 - 79,Census - de facto - complete tabulation,1964,61760.0,
