Country or Area,Year,Area,Sex,Age,Record Type,Source Year,Value,Deaths
Bulgaria,1966,Rural,Female,0,Estimate - de jure,1968,32204.0,1053.0
Bulgaria,1966,Rural,Female,1 - 4,Estimate - de jure,1968,135062.0,224.0
Bulgaria,1966,Rural,Female,10 - 14,Estimate - de jure,1968,179732.0,57.0
Bulgaria,1966,Rural,Female,15 - 19,Estimate - de jure,1968,120251.0,107.0
Bulgaria,1966,Rural,Female,20 - 24,Estimate - de jure,1968,131373.0,85.0
Bulgaria,1966,Rural,Female,25 - 29,Estimate - de jure,1968,133006.0,111.0
Bulgaria,1966,Rural,Female,30 - 34,Estimate - de jure,1968,154214.0,157.0
Bulgaria,1966,Rural,Female,35 - 39,Estimate - de jure,1968,156541.0,205.0
Bulgaria,1966,Rural,Female,40 - 44,Estimate - de jure,1968,175367.0,373.0
Bulgaria,1966,Rural,Female,45 - 49,Estimate - de jure,1968,121184.0,353.0
Bulgaria,1966,Rural,Female,5 - 9,Estimate - de jure,1968,175842.0,91.0
Bulgaria,1966,Rural,Female,50 - 54,Estimate - de jure,1968,145032.0,651.0
Bulgaria,1966,Rural,Female,55 - 59,Estimate - de jure,1968,150849.0,1059.0
Bulgaria,1966,Rural,Female,60 - 64,Estimate - de jure,1968,129007.0,1587.0
Bulgaria,1966,Rural,Female,65 - 69,Estimate - de jure,1968,96720.0,2282.0
Bulgaria,1966,Rural,Female,70 - 74,Estimate - de jure,1968,64983.0,2710.0
Bulgaria,1966,Rural,Female,75 - 79,Estimate - de jure,1968,47840.0,3403.0
Bulgaria,1966,Rural,Female,80 +,Estimate - de jure,1968,41972.0,5954.0
Bulgaria,1966,Rural,Male,0,Estimate - de jure,1968,34067.0,1325.0
Bulgaria,1966,Rural,Male,1 - 4,Estimate - de jure,1968,142372.0,266.0
Bulgaria,1966,Rural,Male,10 - 14,Estimate - de jure,1968,189755.0,112.0
Bulgaria,1966,Rural,Male,15 - 19,Estimate - de jure,1968,127974.0,201.0
Bulgaria,1966,Rural,Male,20 - 24,Estimate - de jure,1968,143151.0,215.0
Bulgaria,1966,Rural,Male,25 - 29,Estimate - de jure,1968,131924.0,221.0
Bulgaria,1966,Rural,Male,30 - 34,Estimate - de jure,1968,159970.0,298.0
Bulgaria,1966,Rural,Male,35 - 39,Estimate - de jure,1968,155410.0,386.0
Bulgaria,1966,Rural,Male,40 - 44,Estimate - de jure,1968,166750.0,509.0
