Country or Area,Year,Area,Sex,Age,Record Type,Source Year,Value,Deaths
Finland,1966,Rural,Female,0 - 4,Estimate - de jure,1969,101783.0,334.0
Finland,1966,Rural,Female,10 - 14,Estimate - de jure,1969,132172.0,47.0
Finland,1966,Rural,Female,15 - 19,Estimate - de jure,1969,136910.0,68.0
Finland,1966,Rural,Female,20 - 24,Estimate - de jure,1969,77813.0,37.0
Finland,1966,Rural,Female,25 - 29,Estimate - de jure,1969,66805.0,58.0
Finland,1966,Rural,Female,30 - 34,Estimate - de jure,1969,66446.0,69.0
Finland,1966,Rural,Female,35 - 39,Estimate - de jure,1969,77124.0,112.0
Finland,1966,Rural,Female,40 - 44,Estimate - de jure,1969,79515.0,155.0
Finland,1966,Rural,Female,45 - 49,Estimate - de jure,1969,72653.0,227.0
Finland,1966,Rural,Female,5 - 9,Estimate - de jure,1969,115653.0,53.0
Finland,1966,Rural,Female,50 - 54,Estimate - de jure,1969,75142.0,350.0
Finland,1966,Rural,Female,55 - 59,Estimate - de jure,1969,74711.0,579.0
Finland,1966,Rural,Female,60 - 64,Estimate - de jure,1969,63063.0,900.0
Finland,1966,Rural,Female,65 - 69,Estimate - de jure,1969,51954.0,1334.0
Finland,1966,Rural,Female,70 - 74,Estimate - de jure,1969,36820.0,1712.0
Finland,1966,Rural,Female,75 - 79,Estimate - de jure,1969,24603.0,2250.0
Finland,1966,Rural,Female,80 +,Estimate - de jure,1969,17790.0,3308.0
Finland,1966,Rural,Male,0 - 4,Estimate - de jure,1969,105673.0,430.0
Finland,1966,Rural,Male,10 - 14,Estimate - de jure,1969,138114.0,81.0
Finland,1966,Rural,Male,15 - 19,Estimate - de jure,1969,150967.0,160.0
Finland,1966,Rural,Male,20 - 24,Estimate - de jure,1969,97892.0,141.0
Finland,1966,Rural,Male,25 - 29,Estimate - de jure,1969,74719.0,136.0
Finland,1966,Rural,Male,30 - 34,Estimate - de jure,1969,73673.0,182.0
Finland,1966,Rural,Male,35 - 39,Estimate - de jure,1969,83464.0,282.0
Finland,1966,Rural,Male,40 - 44,Estimate - de jure,1969,77235.0,428.0
Finland,1966,Rural,Male,45 - 49,Estimate - de jure,1969,64091.0,548.0
Finland,1966,Rural,Male,5 - 9,Estimate - de jure,1969,120346.0,82.0
Finland,1966,Rural,Male,50 - 54,Estimate - de jure,1969,66874.0,859.0
Finland,1966,Rural,Male,55 - 59,Estimate - de jure,1969,67520.0,1361.0
Finland,1966,Rural,Male,60 - 64,Estimate - de jure,1969,53315.0,1608.0
Finland,1966,Rural,Male,65 - 69,Estimate - de jure,1969,39813.0,1816.0
Finland,1966,Rural,Male,70 - 74,Estimate - de jure,1969,26113.0,1811.0
Finland,1966,Rural,Male,75 - 79,Estimate - de jure,1969,15729.0,1779.0
Finland,1966,Rural,Male,80 +,Estimate - de jure,1969,10345.0,2102.0
Finland,1966,Urban,Female,0 - 4,Estimate - de jure,1969,90601.0,307.0
Finland,1966,Urban,Female,10 - 14,Estimate - de jure,1969,81767.0,18.0
Finland,1966,Urban,Female,15 - 19,Estimate - de jure,1969,100376.0,38.0
Finland,1966,Urban,Female,20 - 24,Estimate - de jure,1969,107765.0,54.0
Finland,1966,Urban,Female,25 - 29,Estimate - de jure,1969,89972.0,52.0
Finland,1966,Urban,Female,30 - 34,Estimate - de jure,1969,72812.0,62.0
Finland,1966,Urban,Female,35 - 39,Estimate - de jure,1969,73728.0,100.0
Finland,1966,Urban,Female,40 - 44,Estimate - de jure,1969,72542.0,185.0
Finland,1966,Urban,Female,45 - 49,Estimate - de jure,1969,65668.0,224.0
Finland,1966,Urban,Female,5 - 9,Estimate - de jure,1969,81334.0,28.0
Finland,1966,Urban,Female,50 - 54,Estimate - de jure,1969,66534.0,351.0
Finland,1966,Urban,Female,55 - 59,Estimate - de jure,1969,66527.0,575.0
